contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
578397947,578397947_121_1227,3330356662,BGC0000376,121,1227,['metalloprotease'],True,NRP
578397947,578397947_1070_1738,937054594,BGC0000376,1070,1738,,True,NRP
578397947,578397947_2135_3004,1438368427,BGC0000376,2135,3004,['SARP family transcriptional regulator'],True,NRP
578397947,578397947_3001_4767,2939185786,BGC0000376,3001,4767,['nonribosomal peptide synthetase'],True,NRP
578397947,578397947_4764_5504,968808096,BGC0000376,4764,5504,['thioesterase'],True,NRP
578397947,578397947_5501_6697,2474672357,BGC0000376,5501,6697,['cytochrome P450 monooxygenase'],True,NRP
578397947,578397947_6758_8395,2483135932,BGC0000376,6758,8395,['tryptophan 6-halogenase'],True,NRP
578397947,578397947_8392_8925,2977635923,BGC0000376,8392,8925,['flavin reductase'],True,NRP
578397947,578397947_8925_13415,3121108122,BGC0000376,8925,13415,['nonribosomal peptide synthetase'],True,NRP
578397947,578397947_13561_14217,382964066,BGC0000376,13561,14217,['hypothetical protein'],True,NRP
578397947,578397947_14427_15698,3642402980,BGC0000376,14427,15698,['integral membrane ion antiporter'],True,NRP
578397947,578397947_15784_17007,2014088770,BGC0000376,15784,17007,['alanine/alpha-methylserine hydroxymethyltransferase'],True,NRP
578397947,578397947_17168_20551,2162567268,BGC0000376,17168,20551,['nonribosomal peptide synthetase'],True,NRP
578397947,578397947_20659_22161,3364999624,BGC0000376,20659,22161,['aldehyde dehydrogenase'],True,NRP
578397947,578397947_22191_22931,3345228319,BGC0000376,22191,22931,['esterase'],True,NRP
578397947,578397947_23029_24000,2556806161,BGC0000376,23029,24000,['transcriptional regulator'],True,NRP
578397947,578397947_24017_28396,1357525003,BGC0000376,24017,28396,['nonribosomal peptide synthetase'],True,NRP
578397947,578397947_28531_29994,4142483519,BGC0000376,28531,29994,['transmembrane transporter'],True,NRP
578397947,578397947_30071_35677,1563203662,BGC0000376,30071,35677,['nonribosomal peptide synthetase'],True,NRP
578397947,578397947_35738_36892,4271052693,BGC0000376,35738,36892,['hypothetical protein'],True,NRP
578397947,578397947_36947_38041,3386404888,BGC0000376,36947,38041,['L-Threonine aldolase'],True,NRP
578397947,578397947_38038_38958,1844559157,BGC0000376,38038,38958,['LysR family transcriptional regulator'],True,NRP
578397947,578397947_39935_40381,175849730,BGC0000376,39935,40381,['hypothetical protein'],True,NRP
578397947,578397947_40533_40955,1961649534,BGC0000376,40533,40955,['endoribonuclease L-PSP family protein'],True,NRP
578397947,578397947_40952_42112,1444046147,BGC0000376,40952,42112,['Acyl-CoA dehydrogenase'],True,NRP
578397947,578397947_42416_43672,3040459504,BGC0000376,42416,43672,,False,
