contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2716547605,2716547605_347_1141,1524423983,BGC0002282,347,1141,,True,Other
2716547605,2716547605_1134_1556,2754099144,BGC0002282,1134,1556,,True,Other
2716547605,2716547605_1591_2292,2130984984,BGC0002282,1591,2292,['SDR family oxidoreductase'],True,Other
2716547605,2716547605_2285_3004,4102846088,BGC0002282,2285,3004,['SAICAR synthetase'],True,Other
2716547605,2716547605_3232_4590,4015351617,BGC0002282,3232,4590,['aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme'],True,Other
2716547605,2716547605_4799_5806,1889079003,BGC0002282,4799,5806,['hypothetical protein'],True,Other
2716547605,2716547605_5849_7057,1049150959,BGC0002282,5849,7057,['MFS transporter'],True,Other
2716547605,2716547605_7115_8464,4229884662,BGC0002282,7115,8464,['NtaA/DmoA family FMN-dependent monooxygenase'],True,Other
2716547605,2716547605_8469_9497,1618976777,BGC0002282,8469,9497,['LLM class flavin-dependent oxidoreductase'],True,Other
2716547605,2716547605_9494_10084,2411291795,BGC0002282,9494,10084,['phosphoribosylaminoimidazolecarboxamide formyltransferase'],True,Other
2716547605,2716547605_10112_11383,3892365890,BGC0002282,10112,11383,['adenylosuccinate synthase'],True,Other
2716547605,2716547605_11419_12420,3854586870,BGC0002282,11419,12420,['hydroxyacid dehydrogenase'],True,Other
2716547605,2716547605_12467_13099,908207181,BGC0002282,12467,13099,['sigma-70 family RNA polymerase sigma factor'],True,Other
2716547605,2716547605_13183_14454,83831811,BGC0002282,13183,14454,['aminotransferase class III-fold pyridoxal phosphate-dependent enzyme'],True,Other
2716547605,2716547605_14545_16578,2480274701,BGC0002282,14545,16578,['class I tRNA ligase family protein'],True,Other
2716547605,2716547605_16635_17966,3589649809,BGC0002282,16635,17966,['SidA/IucD/PvdA family monooxygenase'],True,Other
2716547605,2716547605_17998_19137,3389431047,BGC0002282,17998,19137,['saccharopine dehydrogenase'],True,Other
2716547605,2716547605_19185_20447,2610199831,BGC0002282,19185,20447,['ATP-grasp domain-containing protein'],True,Other
2716547605,2716547605_21243_23180,651104058,BGC0002282,21243,23180,['S9 family peptidase'],True,Other
2716547605,2716547605_23238_23801,1982625515,BGC0002282,23238,23801,['NUDIX domain-containing protein'],True,Other
2716547605,2716547605_23899_25089,136722862,BGC0002282,23899,25089,['amidohydrolase family protein'],True,Other
2716547605,2716547605_25115_26239,4044644549,BGC0002282,25115,26239,['FAD-binding oxidoreductase'],True,Other
2716547605,2716547605_26236_27852,2416658448,BGC0002282,26236,27852,['FAD-dependent oxidoreductase'],True,Other
2716547605,2716547605_27898_29322,3036589993,BGC0002282,27898,29322,['adenylosuccinate lyase'],True,Other
2716547605,2716547605_29393_30418,2300730547,BGC0002282,29393,30418,"[""beta-ribofuranosylaminobenzene 5'-phosphate synthase""]",True,Other
2716547605,2716547605_30754_31980,2040355617,BGC0002282,30754,31980,['Rieske 2Fe-2S domain-containing protein'],True,Other
2716547605,2716547605_32083_32640,1316829379,BGC0002282,32083,32640,['NADPH-dependent FMN reductase'],True,Other
2716547605,2716547605_32672_33673,1770888895,BGC0002282,32672,33673,['phosphoribosylaminoimidazolesuccinocarboxamide synthase'],True,Other
2716547605,2716547605_33684_36494,792447715,BGC0002282,33684,36494,,False,
2716547605,2716547605_36491_37378,639528780,BGC0002282,36491,37378,,False,
2716547605,2716547605_37405_38364,2490645278,BGC0002282,37405,38364,,False,
2716547605,2716547605_38482_39165,1942423748,BGC0002282,38482,39165,,False,
2716547605,2716547605_39403_40257,2604868647,BGC0002282,39403,40257,,False,
2716547605,2716547605_40247_40945,1955168719,BGC0002282,40247,40945,,False,
2716547605,2716547605_41067_41675,2149483395,BGC0002282,41067,41675,,False,
