contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2950686879,2950686879_1_789,2828649442,BGC0001561,1,789,['hypothetical protein'],True,NRP
2950686879,2950686879_1346_1885,1674390450,BGC0001561,1346,1885,,True,NRP
2950686879,2950686879_1854_2633,2867179069,BGC0001561,1854,2633,['hypothetical protein'],True,NRP
2950686879,2950686879_2639_3817,336091696,BGC0001561,2639,3817,['hypothetical protein'],True,NRP
2950686879,2950686879_4192_4416,136955972,BGC0001561,4192,4416,['hypothetical protein'],True,NRP
2950686879,2950686879_4443_4871,121753716,BGC0001561,4443,4871,['hypothetical protein'],True,NRP
2950686879,2950686879_5194_5865,132000644,BGC0001561,5194,5865,['LuxR family transcriptional regulator'],True,NRP
2950686879,2950686879_5853_7109,629026442,BGC0001561,5853,7109,['histidine kinase'],True,NRP
2950686879,2950686879_7246_8100,3593423388,BGC0001561,7246,8100,['ABC transporter ATP-binding protein'],True,NRP
2950686879,2950686879_8097_10850,2866823541,BGC0001561,8097,10850,['ABC transporter permease'],True,NRP
2950686879,2950686879_10958_11365,2172132373,BGC0001561,10958,11365,['hypothetical protein'],True,NRP
2950686879,2950686879_11660_12955,1211398157,BGC0001561,11660,12955,['hypothetical protein'],True,NRP
2950686879,2950686879_13040_17578,3525116132,BGC0001561,13040,17578,,True,NRP
