contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3831694227,3831694227_1_1170,1671346209,BGC0000971,1,1170,,False,
3831694227,3831694227_1501_1983,1372355595,BGC0000971,1501,1983,['hypothetical protein'],True,NRP__Polyketide
3831694227,3831694227_2036_3004,2679905996,BGC0000971,2036,3004,['putative P450'],True,NRP__Polyketide
3831694227,3831694227_3183_4205,2024531114,BGC0000971,3183,4205,['LuxR like regulator'],True,NRP__Polyketide
3831694227,3831694227_4385_6157,1816534077,BGC0000971,4385,6157,['Acyl-CoA ligase'],True,NRP__Polyketide
3831694227,3831694227_6157_7152,2485678509,BGC0000971,6157,7152,['3-oxo-acyl (ACP) synthase'],True,NRP__Polyketide
3831694227,3831694227_7329_8741,1722213104,BGC0000971,7329,8741,['phenyl-acetate-CoA ligase'],True,NRP__Polyketide
3831694227,3831694227_8741_9736,3745970339,BGC0000971,8741,9736,['L-amino acid aminotransferase'],True,NRP__Polyketide
3831694227,3831694227_9733_10350,2201747194,BGC0000971,9733,10350,['hypothetical protein'],True,NRP__Polyketide
3831694227,3831694227_10384_11373,3556449625,BGC0000971,10384,11373,['ornithine cyclodeaminase'],True,NRP__Polyketide
3831694227,3831694227_11417_11704,2650665401,BGC0000971,11417,11704,['hypothetical protein'],True,NRP__Polyketide
3831694227,3831694227_11701_12543,3577011164,BGC0000971,11701,12543,['phenazine biosynthesis protein'],True,NRP__Polyketide
3831694227,3831694227_12976_14184,2527864801,BGC0000971,12976,14184,['putative cytochrome P450'],True,NRP__Polyketide
3831694227,3831694227_14213_14410,3467710370,BGC0000971,14213,14410,['ferredoxin-2'],True,NRP__Polyketide
3831694227,3831694227_14472_15317,3516097785,BGC0000971,14472,15317,['20S proteasome beta-subunit'],True,NRP__Polyketide
3831694227,3831694227_15591_21695,4016622094,BGC0000971,15591,21695,['polyketide synthase/non ribosomal peptide synthetase'],True,NRP__Polyketide
3831694227,3831694227_21692_23530,354353838,BGC0000971,21692,23530,['non ribosomal peptide synthetase'],True,NRP__Polyketide
3831694227,3831694227_23558_25348,2562872888,BGC0000971,23558,25348,['ketosynthase'],True,NRP__Polyketide
3831694227,3831694227_25399_26643,2844729136,BGC0000971,25399,26643,['cytochrome P450'],True,NRP__Polyketide
3831694227,3831694227_26648_27481,2533373226,BGC0000971,26648,27481,['thioesterase'],True,NRP__Polyketide
3831694227,3831694227_27492_28838,1095982402,BGC0000971,27492,28838,['octenoyl-CoA reductase/carboxylase'],True,NRP__Polyketide
3831694227,3831694227_28896_29897,2770528846,BGC0000971,28896,29897,['LysR like regulator'],True,NRP__Polyketide
