contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
4185146031,4185146031_307_1071,3126572710,BGC0001543,307,1071,"['putative amino acid ABC transporter, periplasmic protein']",True,Polyketide
4185146031,4185146031_1327_2052,693322136,BGC0001543,1327,2052,"['putative amino acid ABC transporter, periplasmic protein']",True,Polyketide
4185146031,4185146031_2431_6300,2861479112,BGC0001543,2431,6300,['putative transmembrane protein'],True,Polyketide
4185146031,4185146031_6836_7108,3791633975,BGC0001543,6836,7108,,True,Polyketide
4185146031,4185146031_7212_8456,2443550846,BGC0001543,7212,8456,['putative major facilitator superfamily permease'],True,Polyketide
4185146031,4185146031_8576_11776,3226111532,BGC0001543,8576,11776,['type I polyketide synthase'],True,Polyketide
4185146031,4185146031_11766_18803,632225708,BGC0001543,11766,18803,['type I polyketide synthase'],True,Polyketide
4185146031,4185146031_18915_19469,17567719,BGC0001543,18915,19469,['putative isochorismatase'],True,Polyketide
4185146031,4185146031_19482_20900,577871319,BGC0001543,19482,20900,['amine oxidase'],True,Polyketide
4185146031,4185146031_20919_21788,3694872063,BGC0001543,20919,21788,['type I polyketide synthase'],True,Polyketide
4185146031,4185146031_21863_27589,1620814054,BGC0001543,21863,27589,['type I polyketide synthase'],True,Polyketide
4185146031,4185146031_27605_28450,1158451083,BGC0001543,27605,28450,['type I polyketide synthase'],True,Polyketide
4185146031,4185146031_28431_33473,4050767818,BGC0001543,28431,33473,['hybrid NRPS/PKS'],True,Polyketide
4185146031,4185146031_34641_35405,1542158703,BGC0001543,34641,35405,['putative transcriptional regulator'],True,Polyketide
4185146031,4185146031_35576_36217,2074151801,BGC0001543,35576,36217,['putative haloacid dehalogenase'],True,Polyketide
4185146031,4185146031_36228_36470,3559745381,BGC0001543,36228,36470,,True,Polyketide
4185146031,4185146031_36787_37302,861450022,BGC0001543,36787,37302,,True,Polyketide
4185146031,4185146031_37515_37829,3156709061,BGC0001543,37515,37829,,True,Polyketide
4185146031,4185146031_38583_38963,2524799059,BGC0001543,38583,38963,['hypothetical protein'],True,Polyketide
4185146031,4185146031_39048_39425,509922578,BGC0001543,39048,39425,,True,Polyketide
4185146031,4185146031_39788_41404,144553745,BGC0001543,39788,41404,"['putative oligopeptide ABC transporter, periplasmic protein']",True,Polyketide
4185146031,4185146031_41488_42408,4144773854,BGC0001543,41488,42408,"['putative dipeptide/oligopeptide/nickel ABC transporter, permease']",True,Polyketide
4185146031,4185146031_42418_43350,3503662662,BGC0001543,42418,43350,,True,Polyketide
4185146031,4185146031_43421_44410,1960552828,BGC0001543,43421,44410,"['putative dipeptide/oligopeptide/nickel ABC transporter, ATPase']",True,Polyketide
4185146031,4185146031_44435_45430,3584739718,BGC0001543,44435,45430,"['putative oligopeptide ABC transporter, ATPase']",True,Polyketide
4185146031,4185146031_45557_47344,997658618,BGC0001543,45557,47344,['putative aminopeptidase'],True,Polyketide
4185146031,4185146031_47682_48233,3309269329,BGC0001543,47682,48233,['putative NADPH-quinone reductase'],True,Polyketide
4185146031,4185146031_48357_49250,1434940876,BGC0001543,48357,49250,['putative transcriptional regulater'],True,Polyketide
4185146031,4185146031_49542_50609,4075913666,BGC0001543,49542,50609,['hypothetical protein'],True,Polyketide
4185146031,4185146031_50897_51427,550114100,BGC0001543,50897,51427,,False,
