contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
1197418870,1197418870_1_651,4201799557,BGC0001742,1,651,['PieR transcriptional regulator'],True,Polyketide
1197418870,1197418870_1121_9112,3904898266,BGC0001742,1121,9112,['PieA1 type I PKS'],True,Polyketide
1197418870,1197418870_9143_19498,1649707409,BGC0001742,9143,19498,['PieA2 type I PKS'],True,Polyketide
1197418870,1197418870_19443_24881,2562044752,BGC0001742,19443,24881,['PieA3 type I PKS'],True,Polyketide
1197418870,1197418870_24895_31428,506364483,BGC0001742,24895,31428,['PieA4 type I PKS'],True,Polyketide
1197418870,1197418870_31454_37222,982149495,BGC0001742,31454,37222,['PieA5 type I PKS'],True,Polyketide
1197418870,1197418870_37300_44469,3683736757,BGC0001742,37300,44469,['PieA6 type I PKS'],True,Polyketide
1197418870,1197418870_44561_45250,3382077543,BGC0001742,44561,45250,['methyltransferase'],True,Polyketide
1197418870,1197418870_45394_45906,181737948,BGC0001742,45394,45906,['polyketide cyclase/dehydrotase'],True,Polyketide
1197418870,1197418870_45981_47822,2813832853,BGC0001742,45981,47822,['asparagine synthase-like protein'],True,Polyketide
1197418870,1197418870_47836_48609,3455157180,BGC0001742,47836,48609,['methyltransferase'],True,Polyketide
1197418870,1197418870_48606_50414,52115728,BGC0001742,48606,50414,['FAD-binding monooxygenase'],True,Polyketide
