contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
56324023,56324023_1_711,2956631738,BGC0001291,1,711,['hypothetical protein'],True,RiPP
56324023,56324023_721_1803,2385539063,BGC0001291,721,1803,['hypothetical protein'],True,RiPP
56324023,56324023_1806_2213,905091817,BGC0001291,1806,2213,['hypothetical protein'],True,RiPP
56324023,56324023_3504_3767,3071815404,BGC0001291,3504,3767,['enterocin NKR-5-3B precursor peptide'],True,RiPP
56324023,56324023_3751_4923,3745233488,BGC0001291,3751,4923,['protein involved in secretion and immunity'],True,RiPP
56324023,56324023_4925_5443,2498078887,BGC0001291,4925,5443,['protein involved in maturation'],True,RiPP
56324023,56324023_5443_6033,542573132,BGC0001291,5443,6033,['protein involved in secretion and immunity'],True,RiPP
56324023,56324023_6030_6527,1458796167,BGC0001291,6030,6527,['immunity protein'],True,RiPP
56324023,56324023_6614_7924,3615502725,BGC0001291,6614,7924,['hypothetical protein'],True,RiPP
56324023,56324023_7921_8079,141186951,BGC0001291,7921,8079,,True,RiPP
56324023,56324023_8076_8648,3533558067,BGC0001291,8076,8648,['hypothetical protein'],True,RiPP
56324023,56324023_8852_9016,2191988795,BGC0001291,8852,9016,,False,
