contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2763364624,2763364624_1_1350,2132831817,BGC0000023,1,1350,['hypothetical protein'],True,Polyketide
2763364624,2763364624_1384_2472,2675087314,BGC0000023,1384,2472,['hypothetical protein'],True,Polyketide
2763364624,2763364624_2541_4415,3843088097,BGC0000023,2541,4415,['hypothetical protein'],True,Polyketide
2763364624,2763364624_4895_5443,91271844,BGC0000023,4895,5443,,True,Polyketide
2763364624,2763364624_5683_7113,4053141325,BGC0000023,5683,7113,['cytochrome P450 monooxygenase AufA'],True,Polyketide
2763364624,2763364624_7188_8498,3119619285,BGC0000023,7188,8498,['cytochrome P450 monooxygenase AufB'],True,Polyketide
2763364624,2763364624_8559_14162,3412165458,BGC0000023,8559,14162,['polyketide synthase AufC'],True,Polyketide
2763364624,2763364624_14167_24348,1057582672,BGC0000023,14167,24348,['polyketide synthase AufD'],True,Polyketide
2763364624,2763364624_24950_30439,2290162062,BGC0000023,24950,30439,['polyketide synthase AufE'],True,Polyketide
2763364624,2763364624_30452_40588,3248811693,BGC0000023,30452,40588,['polyketide synthase AufF'],True,Polyketide
2763364624,2763364624_40595_47005,3827628598,BGC0000023,40595,47005,['polyketide synthase AufG'],True,Polyketide
2763364624,2763364624_46998_48407,998805551,BGC0000023,46998,48407,['cytochrome P450 monooxygenase AufH'],True,Polyketide
2763364624,2763364624_48404_56530,1203159951,BGC0000023,48404,56530,['polyketide synthase AufI'],True,Polyketide
2763364624,2763364624_56553_58055,1883393909,BGC0000023,56553,58055,['monooxygenase AufJ'],True,Polyketide
