contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2153183972,2153183972_1_2277,2939242898,BGC0001760,1,2277,['FUSC family protein'],True,NRP
2153183972,2153183972_2466_3266,3033254489,BGC0001760,2466,3266,['hypothetical protein'],True,NRP
2153183972,2153183972_3334_4206,1030508833,BGC0001760,3334,4206,['TauD/TfdA family dioxygenase'],True,NRP
2153183972,2153183972_4262_4996,1160852295,BGC0001760,4262,4996,,True,NRP
2153183972,2153183972_4959_6092,496872618,BGC0001760,4959,6092,['GSCFA domain-containing protein'],True,NRP
2153183972,2153183972_6092_15388,2048676088,BGC0001760,6092,15388,['non-ribosomal peptide synthetase'],True,NRP
2153183972,2153183972_15391_19407,2151984371,BGC0001760,15391,19407,['non-ribosomal peptide synthetase'],True,NRP
2153183972,2153183972_19367_20110,217614335,BGC0001760,19367,20110,,True,NRP
2153183972,2153183972_20155_23172,3477602492,BGC0001760,20155,23172,['non-ribosomal peptide synthetase'],True,NRP
2153183972,2153183972_23191_24342,2873456390,BGC0001760,23191,24342,['ATP-dependent DNA ligase'],True,NRP
2153183972,2153183972_24555_25559,3163780051,BGC0001760,24555,25559,['non-homologous end-joining DNA ligase'],True,NRP
2153183972,2153183972_25590_26312,2382086603,BGC0001760,25590,26312,['hypothetical protein'],True,NRP
2153183972,2153183972_26312_26902,746607422,BGC0001760,26312,26902,['SigE family RNA polymerase sigma factor'],True,NRP
2153183972,2153183972_27200_28009,3574973169,BGC0001760,27200,28009,['putative glycosyl hydrolase'],True,NRP
2153183972,2153183972_28153_29094,1985523619,BGC0001760,28153,29094,['hypothetical protein'],True,NRP
