mibig_name,filename,accession,completeness,kingdom,mibig
BGC0001035,pneumocandin.fasta,KE145356.1,complete,fungi,NRP__Polyketide
BGC0000266,BGC0000266.fasta,AF293355.2,Unknown,bacteria,Polyketide
BGC0000692,BGC0000692.fasta,AJ875019.1,Unknown,bacteria,Saccharide
BGC0000722,BGC0000722.fna,DQ164098.1,complete,bacteria,Other__Saccharide
BGC0001807,Totopotensamide_A.fasta,MG012231.1,Unknown,bacteria,NRP__Polyketide
BGC0000564,BGC0000564.fasta,AM412317.1,complete,bacteria,RiPP
BGC0002440,MW560484.1.fasta,MW560484.1,Unknown,bacteria,NRP
BGC0002633,BGC0002633.fna,CP003946.1,Unknown,bacteria,Other
BGC0000801,BGC0000801.fna,Z79692.1,Unknown,bacteria,Saccharide
BGC0000895,BGC0000895.fna,X99978.2,Unknown,bacteria,Other
BGC0000930,BGC0000930.fasta,AF336365.2,Unknown,fungi,Terpene
BGC0001057,BGC0001057.fasta,DQ019316.1,Unknown,fungi,NRP__Polyketide
BGC0001436,cornexistin_BGC0001436.fasta,MF197864.1,Unknown,fungi,Polyketide
BGC0001839,BGC0001839.fna,LDZW01000177.1,complete,fungi,Terpene
BGC0001396,BGC0001396.fasta,KU568466.1,Unknown,bacteria,Polyketide
BGC0000457,BGC0000457.fasta,CP000138.1,Unknown,bacteria,NRP
BGC0000636,BGC0000636.fna,AF139916.1,Unknown,bacteria,Terpene
BGC0001457,BGC0001457.fna,LT990689.1,Unknown,bacteria,NRP
BGC0000886,BGC0000886.fasta,GU067679.1,Unknown,bacteria,Other
BGC0001607,BGC0001607.fasta,NZ_JOJM01000053.1,Unknown,bacteria,Other
BGC0001684,BGC0001684.fna,CP000964.1,Unknown,bacteria,Other
BGC0001283,BGC0001283.fna,NZ_CM001889.1,complete,bacteria,Polyketide
BGC0002009,BGC0002009.fna,NZ_JNYY01000005.1,Unknown,bacteria,Polyketide
BGC0000218,doxorubicin.fasta,L35560.1,Unknown,bacteria,Polyketide
BGC0001765,BGC0001765.fna,CP014259.1,Unknown,bacteria,Saccharide
BGC0002677,BGC0002677.fna,CP001037.1,Unknown,bacteria,Other
BGC0002712,BGC0002712.fna,FNVU01000018.1,Unknown,bacteria,Polyketide
BGC0001726,BGC0001726_pactamides.fasta,KU569222.1,Unknown,bacteria,NRP__Polyketide
BGC0001543,chejuenolide.fasta,HE664023.1,Unknown,bacteria,Polyketide
BGC0001122,BGC0001122.fasta,CH476594.1,complete,fungi,NRP__Polyketide
BGC0000047,BGC0000047.fasta,AY118081.2,Unknown,bacteria,Polyketide
BGC0000163,tetronasin.fasta,FJ462704.1,Unknown,bacteria,Polyketide
BGC0001564,BGC0001564_cusperin.fasta,MG518226.1,Unknown,bacteria,NRP__Polyketide
BGC0002046,BGC0002046.fna,CP007142.1,complete,bacteria,NRP__Polyketide
BGC0002197,BGC0002197.fna,MK360919.1,Unknown,fungi,NRP__Polyketide
BGC0001133,BGC0001133.fna,FN667741.1,complete,bacteria,NRP
