contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3539002931,3539002931_1_582,3765083848,BGC0000075,1,582,['TetR family transcriptional regulator'],True,Polyketide
3539002931,3539002931_762_2588,2859828090,BGC0000075,762,2588,['fumarate reductase/succinate dehydrogenase flavoprotein domain protein'],True,Polyketide
3539002931,3539002931_2657_4306,1367432125,BGC0000075,2657,4306,['NHL repeat containing protein'],True,Polyketide
3539002931,3539002931_4327_5289,3659791736,BGC0000075,4327,5289,['alcohol dehydrogenas'],True,Polyketide
3539002931,3539002931_5520_6149,2176737911,BGC0000075,5520,6149,['nitroreductase'],True,Polyketide
3539002931,3539002931_6697_9609,99928717,BGC0000075,6697,9609,['LuxR family transcriptional regulator'],True,Polyketide
3539002931,3539002931_9642_11234,1306124086,BGC0000075,9642,11234,['FAD-binding monooxygenase'],True,Polyketide
3539002931,3539002931_11462_27940,419565073,BGC0000075,11462,27940,['polyketide synthase'],True,Polyketide
3539002931,3539002931_27967_34623,2190949374,BGC0000075,27967,34623,['polyketide synthase'],True,Polyketide
3539002931,3539002931_34708_40260,2132143974,BGC0000075,34708,40260,['polyketide synthase'],True,Polyketide
3539002931,3539002931_40281_46865,2668668936,BGC0000075,40281,46865,['polyketide synthase'],True,Polyketide
3539002931,3539002931_46892_55399,1992776938,BGC0000075,46892,55399,['polyketide synthase'],True,Polyketide
3539002931,3539002931_55471_56280,3872776031,BGC0000075,55471,56280,['amide synthase'],True,Polyketide
3539002931,3539002931_56293_57519,3911410266,BGC0000075,56293,57519,['putative FMN-binding monoxygenase'],True,Polyketide
3539002931,3539002931_57570_58769,3264921325,BGC0000075,57570,58769,['cytochrome P450'],True,Polyketide
3539002931,3539002931_58770_59450,4246438272,BGC0000075,58770,59450,['2OG-Fe(II) oxygenase'],True,Polyketide
3539002931,3539002931_59539_60267,25994029,BGC0000075,59539,60267,['hypothetical protein'],True,Polyketide
3539002931,3539002931_60335_60841,1891205835,BGC0000075,60335,60841,['putative methylated-DNA-protein-cysteine S-methyltransferase'],True,Polyketide
3539002931,3539002931_60954_61574,2367719738,BGC0000075,60954,61574,['hypothetical protein'],True,Polyketide
3539002931,3539002931_61710_64352,1287236942,BGC0000075,61710,64352,['putative integral membrane sensor protein'],True,Polyketide
3539002931,3539002931_64649_65563,2676180288,BGC0000075,64649,65563,['putative protease B precursor'],True,Polyketide
3539002931,3539002931_65868_66923,2571648334,BGC0000075,65868,66923,['FAD-dependent pyridine nucleotide-disulfide oxidoreductase'],True,Polyketide
3539002931,3539002931_66977_67195,3950832299,BGC0000075,66977,67195,,True,Polyketide
3539002931,3539002931_67394_68119,2072290775,BGC0000075,67394,68119,['putative integral-membrane protein'],True,Polyketide
3539002931,3539002931_68304_68936,221686800,BGC0000075,68304,68936,['putative ECF-family sigma factor'],True,Polyketide
3539002931,3539002931_69067_69762,2357307954,BGC0000075,69067,69762,['phosphatase'],True,Polyketide
3539002931,3539002931_69958_71091,2449096170,BGC0000075,69958,71091,['oxidoreductase'],True,Polyketide
3539002931,3539002931_71088_72254,909646888,BGC0000075,71088,72254,['AHBA synthase'],True,Polyketide
3539002931,3539002931_72481_72915,1455674230,BGC0000075,72481,72915,['aDHQ dehydratase'],True,Polyketide
3539002931,3539002931_73021_73899,1963342009,BGC0000075,73021,73899,['kinase'],True,Polyketide
3539002931,3539002931_74085_74909,613044469,BGC0000075,74085,74909,['MerR family transcriptional regulator'],True,Polyketide
3539002931,3539002931_75063_76475,2433513168,BGC0000075,75063,76475,['hypothetical protein'],True,Polyketide
3539002931,3539002931_76523_76600,3019161802,BGC0000075,76523,76600,,False,
