contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2831692530,2831692530_1_1221,1172027536,BGC0001231,1,1221,['MFS transporter'],True,NRP__Polyketide
2831692530,2831692530_1816_2511,1122673440,BGC0001231,1816,2511,,True,NRP__Polyketide
2831692530,2831692530_2899_2994,1626927851,BGC0001231,2899,2994,,True,NRP__Polyketide
2831692530,2831692530_3048_3794,442738923,BGC0001231,3048,3794,['Thioesterase II'],True,NRP__Polyketide
2831692530,2831692530_4124_14731,3828221316,BGC0001231,4124,14731,['polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_14718_17354,98977418,BGC0001231,14718,17354,['polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_17341_21990,2344161239,BGC0001231,17341,21990,['polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_22000_24546,1408256206,BGC0001231,22000,24546,['polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_24583_25899,1753008708,BGC0001231,24583,25899,['Fe(II)/α-ketoglutarate dependent oxygenase'],True,NRP__Polyketide
2831692530,2831692530_25881_26714,1265070868,BGC0001231,25881,26714,['methyltransferase'],True,NRP__Polyketide
2831692530,2831692530_26747_27907,3240712874,BGC0001231,26747,27907,['Putative Amidohydrolase'],True,NRP__Polyketide
2831692530,2831692530_28221_34856,1653998452,BGC0001231,28221,34856,['non ribosomal peptide synthetase'],True,NRP__Polyketide
2831692530,2831692530_34858_39393,920599785,BGC0001231,34858,39393,['polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_39472_51792,1696265107,BGC0001231,39472,51792,['non ribosomal peptide synthetase'],True,NRP__Polyketide
2831692530,2831692530_51789_60668,2506031083,BGC0001231,51789,60668,['non ribosomal peptide synthetase/polyketide synthase'],True,NRP__Polyketide
2831692530,2831692530_60661_62268,1883823902,BGC0001231,60661,62268,['tryptophan halogenase'],True,NRP__Polyketide
