contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
82674928,82674928_1_720,2425944707,BGC0001727,1,720,['transcriptional response regulator'],True,RiPP
82674928,82674928_717_1787,990666340,BGC0001727,717,1787,['sensor histidine kinase'],True,RiPP
82674928,82674928_1932_2855,300145220,BGC0001727,1932,2855,['ABC transporter ATP-binding protein'],True,RiPP
82674928,82674928_2852_3559,4076589108,BGC0001727,2852,3559,['ABC transporter permease'],True,RiPP
82674928,82674928_3574_4308,928619840,BGC0001727,3574,4308,['ABC transporter permease'],True,RiPP
82674928,82674928_4309_5670,3792190486,BGC0001727,4309,5670,['cyclase'],True,RiPP
82674928,82674928_5867_6019,205713810,BGC0001727,5867,6019,['lantibiotic paenilan precursor peptide'],True,RiPP
82674928,82674928_6096_7358,2638170525,BGC0001727,6096,7358,['cyclase'],True,RiPP
82674928,82674928_7408_8085,3435128738,BGC0001727,7408,8085,['transcriptional response regulator'],True,RiPP
82674928,82674928_8060_11314,1377203006,BGC0001727,8060,11314,['dehydratase'],True,RiPP
82674928,82674928_11301_13202,997758342,BGC0001727,11301,13202,['paenilan transporter'],True,RiPP
