contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
546316931,546316931_2_256,1150745974,BGC0000955,2,256,,False,
546316931,546316931_889_2067,2690344890,BGC0000955,889,2067,['drug resistance transporter'],True,NRP__Polyketide
546316931,546316931_2191_3186,2312861407,BGC0000955,2191,3186,['N-oxygenase'],True,NRP__Polyketide
546316931,546316931_3216_4121,3924570201,BGC0000955,3216,4121,['SAM-dependent methyltransferase'],True,NRP__Polyketide
546316931,546316931_4229_11416,439586979,BGC0000955,4229,11416,['non-ribosomal peptide synthetase'],True,NRP__Polyketide
546316931,546316931_11416_27699,2314198904,BGC0000955,11416,27699,['non-ribosomal peptide synthetase/polyketide synthase'],True,NRP__Polyketide
546316931,546316931_27699_28664,3493835529,BGC0000955,27699,28664,['putative type-II thioesterase'],True,NRP__Polyketide
546316931,546316931_28733_30406,661536536,BGC0000955,28733,30406,,False,
546316931,546316931_30608_30859,826635998,BGC0000955,30608,30859,,False,
546316931,546316931_31213_31512,423203753,BGC0000955,31213,31512,,False,
546316931,546316931_31574_32062,1147995361,BGC0000955,31574,32062,,False,
546316931,546316931_32140_32610,1365505291,BGC0000955,32140,32610,,False,
