contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
778896205,778896205_3_2240,2974162490,BGC0001500,3,2240,,False,
778896205,778896205_2242_3351,2406573140,BGC0001500,2242,3351,['alpha/beta hydrolase family protein'],True,Polyketide
778896205,778896205_3442_6327,3368156226,BGC0001500,3442,6327,['transcriptional regulatory protein LuxR'],True,Polyketide
778896205,778896205_6513_7046,3767721772,BGC0001500,6513,7046,,True,Polyketide
778896205,778896205_8560_9216,4202712565,BGC0001500,8560,9216,['hypothetical protein'],True,Polyketide
778896205,778896205_9732_10637,3766155236,BGC0001500,9732,10637,['putative DNA-binding protein'],True,Polyketide
778896205,778896205_10645_11514,3727200526,BGC0001500,10645,11514,['putative DNA-binding protein'],True,Polyketide
778896205,778896205_12014_12532,4033738155,BGC0001500,12014,12532,['putative Oxidoreductase'],True,Polyketide
778896205,778896205_12564_13352,261561740,BGC0001500,12564,13352,['SARP-like transcriptional regulator'],True,Polyketide
778896205,778896205_13406_14434,3601641475,BGC0001500,13406,14434,['Multifunctional cyclase-dehydratase-3-O-methyl transferase TcmN'],True,Polyketide
778896205,778896205_14560_15516,975709480,BGC0001500,14560,15516,['hypothetical protein'],True,Polyketide
778896205,778896205_15727_16653,1189754015,BGC0001500,15727,16653,['response regulator protein VraR'],True,Polyketide
778896205,778896205_16785_17669,1859027439,BGC0001500,16785,17669,"['2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase']",True,Polyketide
778896205,778896205_17732_18367,3304267614,BGC0001500,17732,18367,['hemerythrin HHE cation binding domain protein'],True,Polyketide
778896205,778896205_18592_18918,2897145388,BGC0001500,18592,18918,['tetracenomycin polyketide synthesis protein TcmI'],True,Polyketide
778896205,778896205_18943_20556,2308695917,BGC0001500,18943,20556,['putative propionyl-CoA carboxylase beta chain 5'],True,Polyketide
778896205,778896205_20588_21004,3576600921,BGC0001500,20588,21004,['putative cyclase'],True,Polyketide
778896205,778896205_21001_22275,2736043073,BGC0001500,21001,22275,['putative beta-ketoacyl synthase alpha'],True,Polyketide
778896205,778896205_22268_23491,224756041,BGC0001500,22268,23491,['putative chain length factor'],True,Polyketide
778896205,778896205_23528_24259,1101210950,BGC0001500,23528,24259,['putative polyketide cyclase'],True,Polyketide
778896205,778896205_24256_24459,2119384308,BGC0001500,24256,24459,['hypothetical protein'],True,Polyketide
778896205,778896205_24493_25230,3652316659,BGC0001500,24493,25230,['putative acyl carrier protein'],True,Polyketide
778896205,778896205_25247_25573,2506669494,BGC0001500,25247,25573,['putative monooxygenase'],True,Polyketide
778896205,778896205_25570_25884,2307565089,BGC0001500,25570,25884,['putative monooxygenase'],True,Polyketide
778896205,778896205_25917_27098,3671714588,BGC0001500,25917,27098,['FAD-dependent urate hydroxylase'],True,Polyketide
778896205,778896205_27115_27576,2183451953,BGC0001500,27115,27576,['putative hydroxylase'],True,Polyketide
778896205,778896205_27597_29348,2846900576,BGC0001500,27597,29348,['acetyl-/propionyl-coenzyme A carboxylase alpha chain'],True,Polyketide
778896205,778896205_29360_29845,3781622384,BGC0001500,29360,29845,['transcriptional regulator MarR-like'],True,Polyketide
778896205,778896205_29971_31680,1633035769,BGC0001500,29971,31680,['multidrug resistance protein stp'],True,Polyketide
778896205,778896205_31693_32460,313634262,BGC0001500,31693,32460,['3-oxoacyl-acyl-carrier-protein reductase FabG'],True,Polyketide
778896205,778896205_32608_33438,2599146868,BGC0001500,32608,33438,['O-methyltransferase'],True,Polyketide
778896205,778896205_33464_35131,707156758,BGC0001500,33464,35131,['putative halogenase'],True,Polyketide
778896205,778896205_35167_35604,447546845,BGC0001500,35167,35604,['putative ester cyclase'],True,Polyketide
778896205,778896205_35675_36181,3278732170,BGC0001500,35675,36181,['cupin domain protein'],True,Polyketide
778896205,778896205_36178_36618,3446937525,BGC0001500,36178,36618,['putative ester cyclase'],True,Polyketide
778896205,778896205_36640_37947,2075737371,BGC0001500,36640,37947,['high-affinity Na(+)/H(+) antiporter NhaS3'],True,Polyketide
778896205,778896205_37970_39652,2522746762,BGC0001500,37970,39652,['putative halogenase'],True,Polyketide
778896205,778896205_39670_40113,2587769040,BGC0001500,39670,40113,['putative polyketide cyclase'],True,Polyketide
778896205,778896205_40106_41698,229189619,BGC0001500,40106,41698,['putative monooxygenase'],True,Polyketide
778896205,778896205_41830_43602,1374763522,BGC0001500,41830,43602,,False,
778896205,778896205_44118_44849,2219709938,BGC0001500,44118,44849,,False,
778896205,778896205_44961_45227,26220119,BGC0001500,44961,45227,,False,
