contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
358541659,358541659_3_605,353296288,BGC0001531,3,605,,False,
358541659,358541659_612_944,3504686840,BGC0001531,612,944,,False,
358541659,358541659_1113_2621,2688499202,BGC0001531,1113,2621,['pyridoxal-dependent decarboxylase'],True,Other
358541659,358541659_2627_3949,1075890279,BGC0001531,2627,3949,['lysine-6-monooxygenase'],True,Other
358541659,358541659_3954_5129,3025830818,BGC0001531,3954,5129,['MFS transporter'],True,Other
358541659,358541659_5133_7550,351960512,BGC0001531,5133,7550,['IucA/IucC'],True,Other
358541659,358541659_7553_8143,3165453033,BGC0001531,7553,8143,['acetyltransferase'],True,Other
358541659,358541659_8133_9953,2534613050,BGC0001531,8133,9953,['IucA/IucC'],True,Other
358541659,358541659_9955_10539,1828485520,BGC0001531,9955,10539,,False,
358541659,358541659_10543_11262,3911672931,BGC0001531,10543,11262,,False,
