contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3172561189,3172561189_1_2829,1209283658,BGC0001738,1,2829,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_2916_4757,3339271447,BGC0001738,2916,4757,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_4825_5475,2838429208,BGC0001738,4825,5475,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_5580_10052,396424283,BGC0001738,5580,10052,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_10172_10870,2687021830,BGC0001738,10172,10870,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_11144_11608,3708703109,BGC0001738,11144,11608,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_11617_12300,2288415839,BGC0001738,11617,12300,['PKS-NRPS hybrid'],True,NRP__Polyketide
3172561189,3172561189_13303_14589,2319403601,BGC0001738,13303,14589,['C6 transcription factor'],True,NRP__Polyketide
3172561189,3172561189_14733_15425,315788174,BGC0001738,14733,15425,['C6 transcription factor'],True,NRP__Polyketide
3172561189,3172561189_15947_16603,1330336497,BGC0001738,15947,16603,['MFS transporter'],True,NRP__Polyketide
3172561189,3172561189_16666_16893,1632217755,BGC0001738,16666,16893,['MFS transporter'],True,NRP__Polyketide
3172561189,3172561189_16956_17504,1261966925,BGC0001738,16956,17504,['MFS transporter'],True,NRP__Polyketide
3172561189,3172561189_18097_19185,532692232,BGC0001738,18097,19185,['trans-enoyl reductase'],True,NRP__Polyketide
3172561189,3172561189_19591_20691,2065876115,BGC0001738,19591,20691,['methyltransferase'],True,NRP__Polyketide
3172561189,3172561189_22298_22405,277140568,BGC0001738,22298,22405,,True,NRP__Polyketide
3172561189,3172561189_22439_22771,2456205705,BGC0001738,22439,22771,['C6 transcription factor'],True,NRP__Polyketide
3172561189,3172561189_23166_24326,1296623938,BGC0001738,23166,24326,['Diels-Alderase'],True,NRP__Polyketide
