contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3446503536,3446503536_1_1428,3230959305,BGC0001568,1,1428,['ribonuclease BN'],True,Polyketide
3446503536,3446503536_1617_1892,114058705,BGC0001568,1617,1892,['hypothetical protein'],True,Polyketide
3446503536,3446503536_2116_2718,1829067250,BGC0001568,2116,2718,['CytR4'],True,Polyketide
3446503536,3446503536_2743_3291,4214507626,BGC0001568,2743,3291,['DinB family protein'],True,Polyketide
3446503536,3446503536_3458_5743,3560222700,BGC0001568,3458,5743,['ABC transporter'],True,Polyketide
3446503536,3446503536_5797_6288,91098659,BGC0001568,5797,6288,['glutathione peroxidase'],True,Polyketide
3446503536,3446503536_6529_7359,458692603,BGC0001568,6529,7359,['ABC-2 type transporter'],True,Polyketide
3446503536,3446503536_7359_8345,109388447,BGC0001568,7359,8345,['ABC transporter'],True,Polyketide
3446503536,3446503536_8421_9404,1094433363,BGC0001568,8421,9404,"['dTDP-glucose 4,6-dehydratase']",True,Polyketide
3446503536,3446503536_9426_10706,2730902915,BGC0001568,9426,10706,['glycosyl transferase family 28'],True,Polyketide
3446503536,3446503536_10741_11991,2273635735,BGC0001568,10741,11991,['cytochrome P450 like protein'],True,Polyketide
3446503536,3446503536_12121_13173,2798396226,BGC0001568,12121,13173,['polyketide synthase'],True,Polyketide
3446503536,3446503536_13170_14204,3922112154,BGC0001568,13170,14204,['3-oxoacyl-ACP synthase'],True,Polyketide
3446503536,3446503536_14201_15445,3400395387,BGC0001568,14201,15445,['beta-ketoacyl synthase'],True,Polyketide
3446503536,3446503536_15442_16710,2677286199,BGC0001568,15442,16710,['beta-ACP synthase'],True,Polyketide
3446503536,3446503536_16707_17042,3361015085,BGC0001568,16707,17042,['antibiotic biosynthesis monooxygenase'],True,Polyketide
3446503536,3446503536_17158_18138,3905908334,BGC0001568,17158,18138,['ornithine cyclodeaminase'],True,Polyketide
3446503536,3446503536_18428_18991,4129999519,BGC0001568,18428,18991,['PadR-like family transcriptional regulator'],True,Polyketide
3446503536,3446503536_19287_20579,874343311,BGC0001568,19287,20579,['glycosyl transferase family 28'],True,Polyketide
3446503536,3446503536_20576_21274,3373627854,BGC0001568,20576,21274,,True,Polyketide
3446503536,3446503536_21241_22278,1602207459,BGC0001568,21241,22278,['NAD-dependent epimerase'],True,Polyketide
3446503536,3446503536_22275_23732,63688339,BGC0001568,22275,23732,"['NDP-hexose 2,3-dehydratase']",True,Polyketide
3446503536,3446503536_23897_24055,3117837793,BGC0001568,23897,24055,['toxin-antitoxin system antitoxin'],True,Polyketide
3446503536,3446503536_24443_25282,2142893009,BGC0001568,24443,25282,['transposase'],True,Polyketide
3446503536,3446503536_25340_26449,482828623,BGC0001568,25340,26449,['NDP-hexose aminotransferase'],True,Polyketide
3446503536,3446503536_26446_27174,4153563761,BGC0001568,26446,27174,['SAM-dependent methyltransferase'],True,Polyketide
3446503536,3446503536_27230_28009,2189464957,BGC0001568,27230,28009,['cyclase'],True,Polyketide
3446503536,3446503536_28156_28563,3775401186,BGC0001568,28156,28563,['hydroxylacyl-CoA dehydrogenase/cyclase'],True,Polyketide
3446503536,3446503536_28604_29350,1004068090,BGC0001568,28604,29350,['C-7 ketoreductase'],True,Polyketide
3446503536,3446503536_29592_30950,977433292,BGC0001568,29592,30950,['aromatase'],True,Polyketide
3446503536,3446503536_30959_31744,2810779562,BGC0001568,30959,31744,['ketoacyl reductase'],True,Polyketide
3446503536,3446503536_31752_33053,3092355228,BGC0001568,31752,33053,"['RfbH/ NDP-hexose 3,4-dehydratase']",True,Polyketide
3446503536,3446503536_33064_34383,2279503049,BGC0001568,33064,34383,['glycosyl transferase'],True,Polyketide
3446503536,3446503536_34380_35510,2145133610,BGC0001568,34380,35510,['cytochrome P450 like protein'],True,Polyketide
3446503536,3446503536_35673_36713,1257418170,BGC0001568,35673,36713,['NDP-hexose-3-ketoreductase'],True,Polyketide
3446503536,3446503536_36804_38399,1930342424,BGC0001568,36804,38399,['FAD-dependent oxidoreductase'],True,Polyketide
3446503536,3446503536_38396_39193,1052066081,BGC0001568,38396,39193,['SAM-dependent methyltransferase'],True,Polyketide
3446503536,3446503536_39190_40086,1128116692,BGC0001568,39190,40086,['alpha/beta hydrolase esterase'],True,Polyketide
3446503536,3446503536_40091_41194,195054710,BGC0001568,40091,41194,['O-methyltransferase'],True,Polyketide
3446503536,3446503536_41234_41671,2942812530,BGC0001568,41234,41671,['aklanonic acid methyl ester cyclase'],True,Polyketide
3446503536,3446503536_41859_42716,2496131142,BGC0001568,41859,42716,['methyltransferase'],True,Polyketide
3446503536,3446503536_42828_43715,4201216711,BGC0001568,42828,43715,['transcriptional regulator'],True,Polyketide
3446503536,3446503536_43869_44123,1873661427,BGC0001568,43869,44123,['acyl carrier protein'],True,Polyketide
3446503536,3446503536_44410_45285,1048678239,BGC0001568,44410,45285,['glucose-1-phosphate thythymidylyltransferase'],True,Polyketide
3446503536,3446503536_45346_46200,3482171073,BGC0001568,45346,46200,['aldo/keto reductase'],True,Polyketide
3446503536,3446503536_46227_47837,3828252481,BGC0001568,46227,47837,['FAD-linked oxidase'],True,Polyketide
3446503536,3446503536_48020_48469,2616891467,BGC0001568,48020,48469,['nitroreductase family deazaflavin dependent oxidoreductase'],True,Polyketide
3446503536,3446503536_48551_49441,205761205,BGC0001568,48551,49441,['MarR family transcriptional regulator'],True,Polyketide
3446503536,3446503536_49507_50247,304313965,BGC0001568,49507,50247,['hypothetical protein'],True,Polyketide
3446503536,3446503536_50244_51023,3634595568,BGC0001568,50244,51023,['hypothetical protein'],True,Polyketide
3446503536,3446503536_51501_58217,2656898516,BGC0001568,51501,58217,['hypothetical protein'],True,Polyketide
