contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2289669605,2289669605_150_1406,480438579,BGC0000286,150,1406,['putative P450'],True,Polyketide
2289669605,2289669605_1414_2949,4190303818,BGC0000286,1414,2949,['ent-copalyl diphosphate synthase'],True,Polyketide
2289669605,2289669605_2990_3877,2857151088,BGC0000286,2990,3877,['hypothetical protein'],True,Polyketide
2289669605,2289669605_4095_5177,1795879390,BGC0000286,4095,5177,['geranylgeranyl diphosphate synthase'],True,Polyketide
2289669605,2289669605_5355_6386,2175028552,BGC0000286,5355,6386,['mevalonate kinase'],True,Polyketide
2289669605,2289669605_6379_7431,196353480,BGC0000286,6379,7431,['mevalonate diphosphate decarboxylase'],True,Polyketide
2289669605,2289669605_7428_8555,1237705130,BGC0000286,7428,8555,['phosphomevalonate kinase'],True,Polyketide
2289669605,2289669605_8552_9643,3643339849,BGC0000286,8552,9643,['isopentenyl diphosphate isomerase'],True,Polyketide
2289669605,2289669605_9640_10701,2954469178,BGC0000286,9640,10701,['3-hydroxy-3-methylglutaryl-CoA reductase'],True,Polyketide
2289669605,2289669605_10704_11879,4235215695,BGC0000286,10704,11879,['3-hydroxy-3-methylglutaryl-CoA synthase'],True,Polyketide
2289669605,2289669605_11991_12971,955219812,BGC0000286,11991,12971,['putative 3-oxoacyl-[acyl-carrier-protein]'],True,Polyketide
2289669605,2289669605_13133_13246,2929572112,BGC0000286,13133,13246,,True,Polyketide
2289669605,2289669605_13243_13872,2580824046,BGC0000286,13243,13872,['hypothetical protein'],True,Polyketide
2289669605,2289669605_13869_15569,817862569,BGC0000286,13869,15569,['hypothetical protein'],True,Polyketide
2289669605,2289669605_15566_16432,998254735,BGC0000286,15566,16432,['hypothetical protein'],True,Polyketide
2289669605,2289669605_16429_17862,3521967558,BGC0000286,16429,17862,['hypothetical protein'],True,Polyketide
2289669605,2289669605_17859_18998,2397325222,BGC0000286,17859,18998,,False,
2289669605,2289669605_18995_19462,2353964598,BGC0000286,18995,19462,,False,
