contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
303789845,303789845_1_759,2240988677,BGC0000311,1,759,['putative two-component system sensor kinase'],True,NRP
303789845,303789845_770_1447,2549334794,BGC0000311,770,1447,['putative two-component system response regulator'],True,NRP
303789845,303789845_1537_2157,1714698497,BGC0000311,1537,2157,['putative VanY-type carboxypeptidase'],True,NRP
303789845,303789845_3179_3976,2255601477,BGC0000311,3179,3976,['StrR family transcriptional regulator'],True,NRP
303789845,303789845_4106_4981,62690567,BGC0000311,4106,4981,['putative prephenate dehydrogenase'],True,NRP
303789845,303789845_5180_7135,1636064838,BGC0000311,5180,7135,['putative ABC transporter ATP-binding protein'],True,NRP
303789845,303789845_7138_16635,2951930318,BGC0000311,7138,16635,['peptide synthetase'],True,NRP
303789845,303789845_16635_28868,3500910422,BGC0000311,16635,28868,['peptide synthetase'],True,NRP
303789845,303789845_28888_34464,1605144949,BGC0000311,28888,34464,['peptide synthetase'],True,NRP
303789845,303789845_34461_34670,3969423711,BGC0000311,34461,34670,['hypothetical protein'],True,NRP
303789845,303789845_34782_35957,3741225427,BGC0000311,34782,35957,['P450 monooxygenase'],True,NRP
303789845,303789845_36007_37203,662296529,BGC0000311,36007,37203,['P450 monooxygenase'],True,NRP
303789845,303789845_37353_38573,2837014651,BGC0000311,37353,38573,['P450 monooxygenase'],True,NRP
303789845,303789845_38634_40109,1158469599,BGC0000311,38634,40109,['halogenase'],True,NRP
303789845,303789845_40192_41382,641629352,BGC0000311,40192,41382,['glycosyltransferase'],True,NRP
303789845,303789845_41399_42676,385765754,BGC0000311,41399,42676,['glycosyltransferase'],True,NRP
303789845,303789845_42824_44053,2119672409,BGC0000311,42824,44053,['glycosyltransferase'],True,NRP
303789845,303789845_44087_45313,1051813283,BGC0000311,44087,45313,['putative C-3 methyl transferase'],True,NRP
303789845,303789845_45409_46233,3881544663,BGC0000311,45409,46233,['hypothetical protein'],True,NRP
303789845,303789845_46265_47119,3880015347,BGC0000311,46265,47119,['putative N-methyl transferase'],True,NRP
303789845,303789845_47100_48386,3933968247,BGC0000311,47100,48386,['phenylglycine amino transferase'],True,NRP
303789845,303789845_48610_49464,2214687839,BGC0000311,48610,49464,['putative hydrolase'],True,NRP
303789845,303789845_49530_51275,3066905894,BGC0000311,49530,51275,['peptide synthetase'],True,NRP
303789845,303789845_51289_52479,3338166572,BGC0000311,51289,52479,['putative P450 monooxygenase'],True,NRP
303789845,303789845_52645_53715,963000980,BGC0000311,52645,53715,['putative hydroxyphenyl pyruvate dioxygenase'],True,NRP
303789845,303789845_53712_54788,525511272,BGC0000311,53712,54788,['putative phenylglycolate oxidase'],True,NRP
303789845,303789845_54879_56237,624544896,BGC0000311,54879,56237,['putative antiporter'],True,NRP
303789845,303789845_56501_57913,37204183,BGC0000311,56501,57913,"['putative NDP-hexose 2,3-dehydratase']",True,NRP
303789845,303789845_57915_58214,2340479281,BGC0000311,57915,58214,['putative 4-ketoreductase'],True,NRP
303789845,303789845_58211_59320,889760957,BGC0000311,58211,59320,['putative C-3 amino transferase'],True,NRP
303789845,303789845_59344_59961,1252444934,BGC0000311,59344,59961,"['putative 3,5 epimerase']",True,NRP
303789845,303789845_60197_61297,1924202658,BGC0000311,60197,61297,['dihydroxyphenylacetic acid synthase'],True,NRP
303789845,303789845_61291_61947,3404220279,BGC0000311,61291,61947,['putative enoyl-CoA hydratase'],True,NRP
303789845,303789845_61944_63248,1790042662,BGC0000311,61944,63248,['hydroxyacyl-dehydrogenase'],True,NRP
303789845,303789845_63245_64054,734465329,BGC0000311,63245,64054,['putative enoyl-CoA-isomerase'],True,NRP
303789845,303789845_64171_65259,4176128507,BGC0000311,64171,65259,['putative alodlase'],True,NRP
303789845,303789845_65378_66667,4181925088,BGC0000311,65378,66667,['putative type I polyketide synthase'],True,NRP
