contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
470862881,470862881_1_198,963001232,BGC0000479,1,198,['hypothetical protein'],True,RiPP
470862881,470862881_246_455,1309987193,BGC0000479,246,455,['hypothetical protein'],True,RiPP
470862881,470862881_522_2489,3166975847,BGC0000479,522,2489,['N-terminal cyanobactin protease'],True,RiPP
470862881,470862881_2608_2997,2131274986,BGC0000479,2608,2997,['conserved hypothetical protein'],True,RiPP
470862881,470862881_3295_3873,2715099705,BGC0000479,3295,3873,['conserved hypothetical protein'],True,RiPP
470862881,470862881_3873_4775,2284599566,BGC0000479,3873,4775,['putative prenyl transferase'],True,RiPP
470862881,470862881_4806_5621,789287649,BGC0000479,4806,5621,['transposase'],True,RiPP
470862881,470862881_5655_5807,2745868274,BGC0000479,5655,5807,['prenylagaramide C precursor peptide'],True,RiPP
470862881,470862881_6095_6241,603431944,BGC0000479,6095,6241,['prenylagaramide B precursor peptide'],True,RiPP
470862881,470862881_6405_6551,3038069010,BGC0000479,6405,6551,['cyanobactin precursor peptide'],True,RiPP
470862881,470862881_6835_7032,1286119894,BGC0000479,6835,7032,['cyanobactin precursor peptide'],True,RiPP
470862881,470862881_7212_7535,2771523435,BGC0000479,7212,7535,['conserved hypothetical protein'],True,RiPP
470862881,470862881_7532_7789,1885372693,BGC0000479,7532,7789,['conserved hypothetical protein'],True,RiPP
470862881,470862881_8087_8314,1865217912,BGC0000479,8087,8314,['conserved hypothetical protein'],True,RiPP
470862881,470862881_8314_8589,3717610834,BGC0000479,8314,8589,['conserved hypothetical protein'],True,RiPP
470862881,470862881_8831_9121,2779415060,BGC0000479,8831,9121,,True,RiPP
470862881,470862881_9075_9362,992363726,BGC0000479,9075,9362,['conserved hypothetical protein'],True,RiPP
470862881,470862881_9616_9852,3607141869,BGC0000479,9616,9852,['cyanobactin precursor peptide'],True,RiPP
470862881,470862881_10031_10615,2714968847,BGC0000479,10031,10615,['conserved hypothetical protein'],True,RiPP
470862881,470862881_10710_10835,4174149799,BGC0000479,10710,10835,,True,RiPP
470862881,470862881_10852_11001,1914670349,BGC0000479,10852,11001,,True,RiPP
470862881,470862881_11007_11162,2444409848,BGC0000479,11007,11162,['cyanobactin precursor peptide'],True,RiPP
470862881,470862881_11350_13422,237137937,BGC0000479,11350,13422,['C-terminal cyanobactin protease/macrocyclase'],True,RiPP
