contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
14445677,14445677_1_1599,1169811201,BGC0001837,1,1599,['ABC transporter permease/secreted hydrolase'],True,Polyketide
14445677,14445677_1684_2937,4269491153,BGC0001837,1684,2937,['hypothetical protein'],True,Polyketide
14445677,14445677_2955_3209,2180041847,BGC0001837,2955,3209,['hypothetical protein'],True,Polyketide
14445677,14445677_3349_4779,755611361,BGC0001837,3349,4779,['class III lipase'],True,Polyketide
14445677,14445677_4844_5722,3555518099,BGC0001837,4844,5722,['alpha/beta hydrolase/AT'],True,Polyketide
14445677,14445677_5776_7209,2373120632,BGC0001837,5776,7209,['class III lipase'],True,Polyketide
14445677,14445677_7293_8516,1050092816,BGC0001837,7293,8516,['class III lipase'],True,Polyketide
14445677,14445677_8640_9893,349493363,BGC0001837,8640,9893,['3-oxoacyl-acyl-carrier protein synthase'],True,Polyketide
14445677,14445677_9900_10157,3632376763,BGC0001837,9900,10157,['ACP'],True,Polyketide
14445677,14445677_10420_11367,3687326878,BGC0001837,10420,11367,['AT (malonyl-CoA)'],True,Polyketide
14445677,14445677_11533_12513,4194317386,BGC0001837,11533,12513,['malonyl CoA-acyl carrier protein transacylase'],True,Polyketide
14445677,14445677_12899_28072,2777182883,BGC0001837,12899,28072,['PKS (DH-FkbM-FkbH-ACP-KS-ECH-ECH-ACP-ACP-KS-KR-ACP-KS)'],True,Polyketide
14445677,14445677_28026_49583,643567055,BGC0001837,28026,49583,['PKS (MT-ACP-KS-KR-ACP-KS-KR-MT-ACP-KS-KR-ACP-KS-ACP-ACP-KS-MT- KR-ACP)'],True,Polyketide
14445677,14445677_49580_51349,3060983470,BGC0001837,49580,51349,['Ser/Thr protein kinase'],True,Polyketide
14445677,14445677_51964_53118,612761344,BGC0001837,51964,53118,['flavin-dependent mono-oxygenase'],True,Polyketide
14445677,14445677_53122_66414,2942168512,BGC0001837,53122,66414,['PKS (KS-ACP-KS-KR-ACP-KS-DH-PS-KR-ACP-KS-ACP)'],True,Polyketide
14445677,14445677_66553_79482,1281684961,BGC0001837,66553,79482,['PKS (ACP-KS-KR-ACP-KS-ACP-ACP-ACP-KS-ACP-C)'],True,Polyketide
14445677,14445677_79890_81794,3073752080,BGC0001837,79890,81794,['FAD-dependent halogenase'],True,Polyketide
14445677,14445677_82258_83937,891219536,BGC0001837,82258,83937,['hydrolase'],True,Polyketide
14445677,14445677_84038_84385,3115329908,BGC0001837,84038,84385,['hypothetical protein'],True,Polyketide
14445677,14445677_84427_85140,3730202558,BGC0001837,84427,85140,['PPTase'],True,Polyketide
14445677,14445677_85190_86650,3038602004,BGC0001837,85190,86650,['long-chain fatty acid CoA-ligase'],True,Polyketide
14445677,14445677_86664_87431,1987896500,BGC0001837,86664,87431,['enoyl-CoA hydratase'],True,Polyketide
14445677,14445677_87419_88186,2389875251,BGC0001837,87419,88186,['enoyl-CoA hydratase'],True,Polyketide
14445677,14445677_88186_89508,2656800128,BGC0001837,88186,89508,['HMG-CoA synthase'],True,Polyketide
14445677,14445677_90710_91783,3319753234,BGC0001837,90710,91783,['type IV secretion protein Rhs/WD40 repeat containing protein'],True,Polyketide
14445677,14445677_91964_96151,2941860421,BGC0001837,91964,96151,['type IV secretion protein Rhs/WD40 repeat containing protein'],True,Polyketide
