contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3192689375,3192689375_16_285,871049376,BGC0000603,16,285,,False,
3192689375,3192689375_399_734,2673867993,BGC0000603,399,734,['putative transposase'],True,RiPP
3192689375,3192689375_1056_1832,903241974,BGC0000603,1056,1832,['XRE family transcriptional regulator'],True,RiPP
3192689375,3192689375_2031_3467,2495120079,BGC0000603,2031,3467,['transport protein'],True,RiPP
3192689375,3192689375_3597_3941,2684434929,BGC0000603,3597,3941,['ethyl tert-butyl ether degradation protein'],True,RiPP
3192689375,3192689375_4266_4667,4227681995,BGC0000603,4266,4667,['hypothetical protein'],True,RiPP
3192689375,3192689375_4664_5647,4060699387,BGC0000603,4664,5647,,True,RiPP
3192689375,3192689375_5831_8629,2734423464,BGC0000603,5831,8629,['LuxR family transcriptional regulator'],True,RiPP
3192689375,3192689375_8700_9935,249768697,BGC0000603,8700,9935,['unknown'],True,RiPP
3192689375,3192689375_9932_10957,3461323348,BGC0000603,9932,10957,['putative lantibiotic biosynthesis protein'],True,RiPP
3192689375,3192689375_10929_13556,3905438295,BGC0000603,10929,13556,['lantibiotic dehydratase domain protein'],True,RiPP
3192689375,3192689375_13571_15607,568911009,BGC0000603,13571,15607,['putative docking protein'],True,RiPP
3192689375,3192689375_15725_15907,771363275,BGC0000603,15725,15907,['unknown prepeptide'],True,RiPP
3192689375,3192689375_16069_17799,2003326308,BGC0000603,16069,17799,['mcbC-like oxidoreductase'],True,RiPP
3192689375,3192689375_17792_19693,24316437,BGC0000603,17792,19693,['putative peptidase containing docking domain'],True,RiPP
3192689375,3192689375_20176_20409,4098860028,BGC0000603,20176,20409,['epoxide hydrolase 1'],True,RiPP
3192689375,3192689375_20447_20803,3939819553,BGC0000603,20447,20803,['putative nitroreductase'],True,RiPP
3192689375,3192689375_20957_21754,1058114845,BGC0000603,20957,21754,,True,RiPP
3192689375,3192689375_22135_22749,2477735715,BGC0000603,22135,22749,['hypothetical protein'],True,RiPP
3192689375,3192689375_22827_23168,2156789918,BGC0000603,22827,23168,['putative secreted protein'],True,RiPP
3192689375,3192689375_23948_24604,3900812159,BGC0000603,23948,24604,,True,RiPP
3192689375,3192689375_24601_24939,4253958573,BGC0000603,24601,24939,['hypothetical protein'],True,RiPP
3192689375,3192689375_25408_25722,2407276367,BGC0000603,25408,25722,,False,
3192689375,3192689375_25827_26519,3136452294,BGC0000603,25827,26519,,False,
3192689375,3192689375_26489_26596,1789994790,BGC0000603,26489,26596,,False,
