contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2973947028,2973947028_1_675,1743172259,BGC0000549,1,675,['putative lantibiotic transport ATP-binding protein SlvF'],True,RiPP
2973947028,2973947028_665_1408,1454326353,BGC0000549,665,1408,['putative lantibiotic transport membrane protein SlvE'],True,RiPP
2973947028,2973947028_1395_2045,1177215998,BGC0000549,1395,2045,['putative lantibiotic transport protein SlvG'],True,RiPP
2973947028,2973947028_2821_3705,1766715291,BGC0000549,2821,3705,['transposase'],True,RiPP
2973947028,2973947028_4383_5720,1415719465,BGC0000549,4383,5720,['putative sensor histidine kinase SlvK'],True,RiPP
2973947028,2973947028_5713_6399,2815129748,BGC0000549,5713,6399,['putative response regulator SlvR'],True,RiPP
2973947028,2973947028_6374_7990,3676256251,BGC0000549,6374,7990,['putative serine protease SlvP'],True,RiPP
2973947028,2973947028_7992_8726,103768553,BGC0000549,7992,8726,['putative immunity protein SlvI'],True,RiPP
2973947028,2973947028_8739_9959,4077921316,BGC0000549,8739,9959,['putative lantibiotic cyclase SlvC'],True,RiPP
2973947028,2973947028_9916_11754,2269770267,BGC0000549,9916,11754,['putative ABC transporter SlvT'],True,RiPP
2973947028,2973947028_11764_14718,535987372,BGC0000549,11764,14718,['putative lantibiotic dehydratase SlvB'],True,RiPP
2973947028,2973947028_14830_14991,270977670,BGC0000549,14830,14991,['putative lantibiotic SlvN'],True,RiPP
2973947028,2973947028_15140_15313,3419554468,BGC0000549,15140,15313,['salivaricin D'],True,RiPP
