contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2537637145,2537637145_1_651,2096563523,BGC0000245,1,651,['sulfate adenylyltransferase'],True,Polyketide
2537637145,2537637145_648_1214,525247220,BGC0000245,648,1214,['adenylylsulfate kinase'],True,Polyketide
2537637145,2537637145_1211_1918,1012135099,BGC0000245,1211,1918,['phosphoadenosine phosphosulfate reductase'],True,Polyketide
2537637145,2537637145_1915_2094,4255691668,BGC0000245,1915,2094,,True,Polyketide
2537637145,2537637145_2091_3785,3857442186,BGC0000245,2091,3785,['nitrite/sulphite reductase'],True,Polyketide
2537637145,2537637145_4149_4718,1207247672,BGC0000245,4149,4718,['acetyltransferase'],True,Polyketide
2537637145,2537637145_5000_5680,3825829090,BGC0000245,5000,5680,['repressor-response regulator'],True,Polyketide
2537637145,2537637145_5738_6358,1960892922,BGC0000245,5738,6358,['putative disulphide-forming protein'],True,Polyketide
2537637145,2537637145_6374_7951,2914507526,BGC0000245,6374,7951,['transmembrane transport protein'],True,Polyketide
2537637145,2537637145_7948_8973,1163950602,BGC0000245,7948,8973,['enoyl reductase'],True,Polyketide
2537637145,2537637145_9056_9697,3162703813,BGC0000245,9056,9697,['Tet-R family transcriptional regulator'],True,Polyketide
2537637145,2537637145_9739_10785,3681535667,BGC0000245,9739,10785,['unknown'],True,Polyketide
2537637145,2537637145_11211_11486,1587287996,BGC0000245,11211,11486,['acyl carrier protein (ACP)'],True,Polyketide
2537637145,2537637145_11536_12252,2349919572,BGC0000245,11536,12252,['phosphopantetheinyl transferase'],True,Polyketide
2537637145,2537637145_12287_13903,385164046,BGC0000245,12287,13903,['decarboxylase'],True,Polyketide
2537637145,2537637145_13942_14898,3709661459,BGC0000245,13942,14898,['first ring aromatase (ARO)'],True,Polyketide
2537637145,2537637145_14936_16066,1933474143,BGC0000245,14936,16066,['NDP-deoxyhexose 3-aminotransferase'],True,Polyketide
2537637145,2537637145_16063_17127,2619642414,BGC0000245,16063,17127,['NDP-1-glucose synthase'],True,Polyketide
2537637145,2537637145_17124_18125,1881019324,BGC0000245,17124,18125,"['NDP-glucose-4,6-dehydratase']",True,Polyketide
2537637145,2537637145_18122_19561,3349323055,BGC0000245,18122,19561,"['NDP-deoxyglucose-2,3-dehydratase']",True,Polyketide
2537637145,2537637145_19612_20334,2389991095,BGC0000245,19612,20334,['N-methyl transferase'],True,Polyketide
2537637145,2537637145_20382_21308,2567562671,BGC0000245,20382,21308,['NDP-4-keto-6-deoxyhexose reductase'],True,Polyketide
2537637145,2537637145_21350_22366,792480501,BGC0000245,21350,22366,['putative carbohydrate kinase'],True,Polyketide
2537637145,2537637145_22425_22928,2230629604,BGC0000245,22425,22928,['NADH:FMN oxidoreductase'],True,Polyketide
2537637145,2537637145_22972_23946,843568935,BGC0000245,22972,23946,['stereospecific keto reductase'],True,Polyketide
2537637145,2537637145_24129_24905,488856978,BGC0000245,24129,24905,['pathway-specific transcriptional activator (SARP)'],True,Polyketide
2537637145,2537637145_24919_25359,3004097182,BGC0000245,24919,25359,['unknown (ActVI-A homologue)'],True,Polyketide
2537637145,2537637145_25442_26419,2886028430,BGC0000245,25442,26419,['enoyl reductase'],True,Polyketide
2537637145,2537637145_26416_27546,3629940733,BGC0000245,26416,27546,['C-glycosyl transferase'],True,Polyketide
2537637145,2537637145_27628_28272,426795875,BGC0000245,27628,28272,['pyran ring cyclase/possible exporter (ActVI-3 homologue)'],True,Polyketide
2537637145,2537637145_28556_29341,3920552395,BGC0000245,28556,29341,['keto reductase (KR)'],True,Polyketide
2537637145,2537637145_29375_30514,1062502055,BGC0000245,29375,30514,['oxygenase/hydroxylase'],True,Polyketide
2537637145,2537637145_30657_31925,4011092642,BGC0000245,30657,31925,['ketosynthase (KS) alpha subunit'],True,Polyketide
2537637145,2537637145_31922_33148,1815262131,BGC0000245,31922,33148,['ketosynthase (KS) beta subunit'],True,Polyketide
2537637145,2537637145_33141_34049,1931768926,BGC0000245,33141,34049,['second ring cyclase (CYC)'],True,Polyketide
2537637145,2537637145_34145_35374,555973683,BGC0000245,34145,35374,['putative secreted chitosanase'],True,Polyketide
2537637145,2537637145_35704_36201,1081654761,BGC0000245,35704,36201,['putative regulatory protein'],True,Polyketide
