contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3538644341,3538644341_1_1617,4207324914,BGC0001814,1,1617,['MFS transporter'],True,NRP
3538644341,3538644341_1927_2520,1507765827,BGC0001814,1927,2520,['RNA-binding protein'],True,NRP
3538644341,3538644341_2554_3321,713047087,BGC0001814,2554,3321,['LysR family transcriptional regulator'],True,NRP
3538644341,3538644341_3380_3796,1613656739,BGC0001814,3380,3796,['hypothetical protein'],True,NRP
3538644341,3538644341_3885_4505,2176640389,BGC0001814,3885,4505,['threonylcarbamoyl-AMP synthase'],True,NRP
3538644341,3538644341_5373_5933,1766321085,BGC0001814,5373,5933,['ABC transporter'],True,NRP
3538644341,3538644341_5995_6756,1720458314,BGC0001814,5995,6756,['thioesterase'],True,NRP
3538644341,3538644341_6760_8052,2906510297,BGC0001814,6760,8052,['MFS transporter'],True,NRP
3538644341,3538644341_8290_8493,4123471076,BGC0001814,8290,8493,['hypothetical protein'],True,NRP
3538644341,3538644341_8578_9009,1212137763,BGC0001814,8578,9009,['hypothetical protein'],True,NRP
3538644341,3538644341_9209_9880,1574378925,BGC0001814,9209,9880,['LuxR family transcriptional regulator'],True,NRP
3538644341,3538644341_9868_11079,3696476025,BGC0001814,9868,11079,['sensor histidine kinase'],True,NRP
3538644341,3538644341_11362_12171,1668617986,BGC0001814,11362,12171,['ABC transporter ATP-binding protein'],True,NRP
3538644341,3538644341_12177_14918,1562324375,BGC0001814,12177,14918,['ABC transporter permease'],True,NRP
3538644341,3538644341_14960_15373,285165552,BGC0001814,14960,15373,['hypothetical protein'],True,NRP
3538644341,3538644341_15577_16917,1608135558,BGC0001814,15577,16917,['beta-lactamase'],True,NRP
3538644341,3538644341_16976_31105,374858642,BGC0001814,16976,31105,['NRPS'],True,NRP
3538644341,3538644341_31162_39159,2571337607,BGC0001814,31162,39159,['NRPS'],True,NRP
3538644341,3538644341_39208_39417,296922087,BGC0001814,39208,39417,['MbtH protein'],True,NRP
3538644341,3538644341_39461_40471,2510635940,BGC0001814,39461,40471,['dioxygenase'],True,NRP
3538644341,3538644341_40461_40847,3084908006,BGC0001814,40461,40847,['SnoaL-like polyketide cyclase'],True,NRP
3538644341,3538644341_40931_42043,1682004601,BGC0001814,40931,42043,['branched chain amino acid aminotransferase'],True,NRP
3538644341,3538644341_42040_42561,596261299,BGC0001814,42040,42561,,True,NRP
3538644341,3538644341_42713_44263,3925430210,BGC0001814,42713,44263,['tryptophan halogenase'],True,NRP
3538644341,3538644341_44316_45572,2507840575,BGC0001814,44316,45572,['sodium/hydrogen exchanger'],True,NRP
3538644341,3538644341_45569_46150,2913597379,BGC0001814,45569,46150,['flavin reductase'],True,NRP
3538644341,3538644341_46256_47134,94389769,BGC0001814,46256,47134,['amidinotransferase'],True,NRP
3538644341,3538644341_47225_48925,16587281,BGC0001814,47225,48925,['2-isopropylmalate synthase'],True,NRP
3538644341,3538644341_48979_49722,1099935998,BGC0001814,48979,49722,['indole-3-glycerol phosphate synthase'],True,NRP
3538644341,3538644341_49812_50972,1422086105,BGC0001814,49812,50972,['anthranilate phosphoribosyltransferase'],True,NRP
3538644341,3538644341_51071_52549,4122581993,BGC0001814,51071,52549,['GntR family transcriptional regulator'],True,NRP
3538644341,3538644341_52399_53049,2547018259,BGC0001814,52399,53049,['aminotransferase'],True,NRP
3538644341,3538644341_53049_54632,3833923015,BGC0001814,53049,54632,['anthranilate synthase'],True,NRP
3538644341,3538644341_54902_55243,902642055,BGC0001814,54902,55243,['transposase'],True,NRP
3538644341,3538644341_55304_55924,3450982806,BGC0001814,55304,55924,['transposase'],True,NRP
3538644341,3538644341_56388_57737,2811557758,BGC0001814,56388,57737,['phospho-2-dehydro-3-deoxyheptonate aldolase'],True,NRP
