contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
98458703,98458703_1_4473,3776879206,BGC0001328,1,4473,['non-ribosomal peptide synthetase'],True,NRP__Polyketide
98458703,98458703_4425_8606,30762332,BGC0001328,4425,8606,['mycocerosic acid synthase'],True,NRP__Polyketide
98458703,98458703_8721_8915,1893008774,BGC0001328,8721,8915,['hypothetical protein'],True,NRP__Polyketide
98458703,98458703_8912_12817,1265320551,BGC0001328,8912,12817,['non-ribosomal peptide synthetase'],True,NRP__Polyketide
98458703,98458703_12831_13751,1133224544,BGC0001328,12831,13751,['polyketide synthase type I'],True,NRP__Polyketide
98458703,98458703_13753_17124,12112338,BGC0001328,13753,17124,['non-ribosomal peptide synthetase'],True,NRP__Polyketide
98458703,98458703_17141_18778,3234342229,BGC0001328,17141,18778,['polyketide synthase type I'],True,NRP__Polyketide
98458703,98458703_19111_23145,2796098009,BGC0001328,19111,23145,['polyketide synthase type I'],True,NRP__Polyketide
98458703,98458703_23249_27433,2592825611,BGC0001328,23249,27433,,True,NRP__Polyketide
98458703,98458703_27430_27789,1440210655,BGC0001328,27430,27789,,True,NRP__Polyketide
98458703,98458703_27786_29375,1117372405,BGC0001328,27786,29375,['linear gramicidin synthetase LgrD'],True,NRP__Polyketide
98458703,98458703_29372_32434,3683072512,BGC0001328,29372,32434,,True,NRP__Polyketide
98458703,98458703_32431_34143,3773990960,BGC0001328,32431,34143,['pyoverdine ABC transporter permease/ATP-binding protein'],True,NRP__Polyketide
98458703,98458703_34097_34960,309079927,BGC0001328,34097,34960,['gramicidin S biosynthesis protein GrsT'],True,NRP__Polyketide
98458703,98458703_34957_37824,3120823412,BGC0001328,34957,37824,['non-ribosomal peptide synthetase'],True,NRP__Polyketide
98458703,98458703_37908_38897,4061114824,BGC0001328,37908,38897,['clavaminate synthase'],True,NRP__Polyketide
