contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
23124030,23124030_96_938,1421435655,BGC0000488,96,938,,False,
23124030,23124030_932_2209,3448525716,BGC0000488,932,2209,['putative histidine kinase'],True,RiPP
23124030,23124030_2161_2280,3205233580,BGC0000488,2161,2280,,True,RiPP
23124030,23124030_2240_2839,257452460,BGC0000488,2240,2839,['putative ArgB homologue'],True,RiPP
23124030,23124030_3090_3482,2989563594,BGC0000488,3090,3482,['hypothetical protein'],True,RiPP
23124030,23124030_3788_4006,4076452201,BGC0000488,3788,4006,['circularin A precursor'],True,RiPP
23124030,23124030_4107_5852,807203987,BGC0000488,4107,5852,['CirB protein'],True,RiPP
23124030,23124030_5842_6390,4206639951,BGC0000488,5842,6390,['CirC protein'],True,RiPP
23124030,23124030_6390_7055,1086516527,BGC0000488,6390,7055,['ATP-binding protein'],True,RiPP
23124030,23124030_7085_7234,3013311246,BGC0000488,7085,7234,['circularin immunity protein'],True,RiPP
23124030,23124030_7302_8729,3553574274,BGC0000488,7302,8729,['putative hylD family protein'],True,RiPP
23124030,23124030_8729_9475,2109485097,BGC0000488,8729,9475,['ATP binding protein'],True,RiPP
23124030,23124030_9466_10734,1960312401,BGC0000488,9466,10734,['putative ABC transporter permease'],True,RiPP
23124030,23124030_10904_11386,2343168540,BGC0000488,10904,11386,,False,
