contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
1334497564,1334497564_452_1165,994093496,BGC0001437,452,1165,['ObaA'],True,NRP
1334497564,1334497564_1385_1894,1793407214,BGC0001437,1385,1894,['N-acylhomoserine lactone synthase'],True,NRP
1334497564,1334497564_1982_2932,239351220,BGC0001437,1982,2932,['N-oxygenase'],True,NRP
1334497564,1334497564_2958_3557,2602420232,BGC0001437,2958,3557,['4-Amino-4-deoxychorismate synthase component II'],True,NRP
1334497564,1334497564_3598_5058,2320509607,BGC0001437,3598,5058,['4-Amino-4-deoxychorismate synthase component I'],True,NRP
1334497564,1334497564_5055_6317,2936510766,BGC0001437,5055,6317,['4-Amino-4-deoxychorismate mutase/prephenate dehydrogenase'],True,NRP
1334497564,1334497564_6314_7636,3941644379,BGC0001437,6314,7636,['threonine transaldolase PLP-dependent'],True,NRP
1334497564,1334497564_7633_9336,3135349703,BGC0001437,7633,9336,['nitrophenylpyruvate decarboxylase ThDP-dependent'],True,NRP
1334497564,1334497564_9378_15110,2114608484,BGC0001437,9378,15110,['obafluorin dimodular nonribosomal peptide synthetase'],True,NRP
1334497564,1334497564_15153_15797,2707609463,BGC0001437,15153,15797,['isochorismatase'],True,NRP
1334497564,1334497564_15794_16060,625153509,BGC0001437,15794,16060,['obafluorin aryl carrier protein'],True,NRP
1334497564,1334497564_16057_16827,1255614777,BGC0001437,16057,16827,"['2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase']",True,NRP
1334497564,1334497564_16872_18020,553462076,BGC0001437,16872,18020,['DAHP synthase'],True,NRP
1334497564,1334497564_18017_19435,3294139492,BGC0001437,18017,19435,['isochorismate synthase'],True,NRP
